input,output
"i guess we gotta talk, huh?",話しがあるんだ
it's veggie bacon.,野菜ベーコンだ
when godasan died,郷田さんが死んだとき
"this is a copy of some introspective phrases, found",これは キャバクラ通いが
well...,こりゃどーもー
"nigel, get out of the way!",ナイジェル どけよ
ok. what do i do?,どう使うの?
i'm sure in equestria magic does whatever you want,エクエストリアでは何でも 魔法を使ってしてたんでしょ?
it's in your dna.,それが君達のdnaなのだ
all right. bye.,わかった じゃ
kind of.,我比较喜欢你叫我数据库
those gods... you don't think they need me.,あなたの仕事を すごく誇りに思うわ
it was a mission.,そのすべてが 任務だった。
there's all kinds of natural causes of climate change.,気候変動には様々な 自然要因が関係しています
i guess they figure anything that can keep me out is good enough for their customers.,俺の歯が立たないシステムなら 彼らのお客にとっても 十分安全だと言えるだろ
was able to love mio again.,もう一度 澪に恋をしました
to restore order and normality,秩序と平穏を取り戻そうとします もし
i don't like the look of the tall one.,背の高い奴は、 気味が悪い
"it's related to erikosan, right?",江利子さんと 関係があるんですね?
i'm on my honeymoon!,折角の新婚旅行なのに
be my belt.,...ベルトだし
"come on, henry.",違う。
i'm sorry mr president. she insisted.,すみません 大統領 彼女がむりやり
which is actually almost all transactions.,トランザクションの大半はそうです
to the extent that it is free,その範囲内において
"if abaddon wins, you can kiss all that goodbye all the fancy cars, the book deals.",もしアバドンが勝てば お前は全てにサヨナラのキスだぞ 派手な車にも 本の取引も
american...,アメリカ...
about your engagement party?,婚約パーティの?
and it happened to alma.,それからアルマに起きた
that's using a technology called ocr,そのために ocr
please help..we are desperate here! is there only one ambulance in the city?,助けてくれ 何とかならんのか 他に救急車は?
"misinformation, manipulation.",情報を操作する
"parker, that's months of hard work.",パーカー、2、3ヵ月 激務!
make the opportunity to go work with the market rules,市場経済ルール下での労働の機会を
what percentage of that was accounted for,何%が 海外への直接投資として
"among those leaders, cardinal janusz wolichek has been heading up the discussions at the vatican, but as of yet, no answers.",「こうした動きの中で ヤヌス ヴォリチェク枢機卿が」 法王庁での議論を主導 「今のところ公式な回答は無く」
cut it out. my personality and the liquor i drink are strait.,よしてくれ。 俺は 酒も性癖もストレートだ。
"i said, where do you keep the cash?",金はどこにあるんだ?
he said this,あいつが言ってた
[woman] hello?,モーリン?
i've been... trying to get back something that's already gone.,ボクは... 何かを取り戻そうとしてた 何もなかった
two whole rads at this proximity.,すごい放射線量
"kelty, trent kelty. we were neighbors.",ケルティ トレント・ケルティです 私たちは お隣同士で
what kind of science?,そう どんな種類の?
"i'm sorry, but i've never lost.",悪いけど 俺 負けたことないんだよね。
no need.,黒子ひょっとしていらない子
i won.,当選よ
'course it's him.,あいつの仕業だ
"to be honest, i felt contradicted too.",正直 矛盾も感じました。
"say, he is a lawyer.",弁護士という
to provide for them is also your obligation.,提供するのは あなたの義務でもあるのよ。
"instead of an apology, why don't you try the truth?",謝罪の代わりに 何で真実を言わないの!
i... wanted power and strength.,俺は力が... 強さが欲しかった。
and computer user interface design,コンピューターのインターフェースデザインでは
"it's probably, closer than it is, i'm looking at it.",きっと僕が求めていた所だよね
where you travel to?,どこを回った?
you are having this exceptional amount of innovation,このような特別な規模での イノベーションが起こり得るのです
but the reality is,しかし 現実には
and this is getting commercialized very quickly.,非常に速く商品化が進んでいます
it's on your skin.,皮膚が...
"is it 20 questions? no, it's more like 120 questions.",20の質問ですか いや 120の質問かもしれませんね
"no, this one's a lot prettier.",こんなに かわいらしくない
"please. all right, one more time.",あと1回
"naturally, naturally.",やったー! 当然 当然。
whether you agree to my game or not,僕のゲームに乗っても乗らなくても
please let us go.,どうか 私たちを 見逃してください ...とね。
do you copy?,レイ・デルタ、聞こえる?
"fuck you, taipei!",台北のくそったれっ!
"hitomichan, kagamikun, come here.",瞳ちゃん 加々見君 こっち来て。
